EXEMPLOS DE SOLUÇÕES

# MÉTODO: Primeiro caso

        x1 |        x2 |        x3 |        x4 |       x5 |       x6 |   res.
  0.707107 |  0.399018  |  0.707107 | 0.916943 |    0 |    0 |      0
 -0.707107 |  0.399018  |  0.707107 | 0.916943 |    0 |    0 |      0
 -0.707107 |  0.399018  | -0.707107 | 0.916943 |    0 |    0 |      0
  0.707107 |  0.399018  | -0.707107 | 0.916943 |    0 |    0 |      0
  0.707107 | -0.281556  |  0.707107 | 0.959545 |    0 |    0 |      0
 -0.707107 | -0.281556  |  0.707107 | 0.959545 |    0 |    0 |      0
 -0.707107 | -0.281556  | -0.707107 | 0.959545 |    0 |    0 |      0
  0.707107 | -0.281556  | -0.707107 | 0.959545 |    0 |    0 |      0
  0.707107 |  0.649655  |  0.707107 | 0.760229 |    0 |    0 |      0
 -0.707107 |  0.649655  |  0.707107 | 0.760229 |    0 |    0 |      0
 -0.707107 |  0.649655  | -0.707107 | 0.760229 |    0 |    0 |      0
  0.707107 |  0.649655  | -0.707107 | 0.760229 |    0 |    0 |      0
  0.707107 |  0.961365  |  0.707107 | 0.275277 |    0 |    0 |      0
 -0.707107 |  0.961365  |  0.707107 | 0.275277 |    0 |    0 |      0
 -0.707107 |  0.961365  | -0.707107 | 0.275277 |    0 |    0 |      0
  0.707107 |  0.961365  | -0.707107 | 0.275277 |    0 |    0 |      0
  0.707107 | -0.370487  |  0.707107 | 0.928838 |    0 |    0 |      0
 -0.707107 | -0.370487  |  0.707107 | 0.928838 |    0 |    0 |      0
 -0.707107 | -0.370487  | -0.707107 | 0.928838 |    0 |    0 |      0
  0.707107 | -0.370487  | -0.707107 | 0.928838 |    0 |    0 |      0
  0.707107 |  0.767793  |  0.707107 | 0.640699 |    0 |    0 |      0
 -0.707107 |  0.767793  |  0.707107 | 0.640699 |    0 |    0 |      0
 -0.707107 |  0.767793  | -0.707107 | 0.640699 |    0 |    0 |      0
  0.707107 |  0.767793  | -0.707107 | 0.640699 |    0 |    0 |      0
  0.707107 |  0.219435  |  0.707107 | 0.975627 |    0 |    0 |      0
 -0.707107 |  0.219435  |  0.707107 | 0.975627 |    0 |    0 |      0
 -0.707107 |  0.219435  | -0.707107 | 0.975627 |    0 |    0 |      0
  0.707107 |  0.219435  | -0.707107 | 0.975627 |    0 |    0 |      0
  0.707107 | -0.538034  |  0.707107 | 0.842923 |    0 |    0 |      0
 -0.707107 | -0.538034  |  0.707107 | 0.842923 |    0 |    0 |      0
 -0.707107 | -0.538034  | -0.707107 | 0.842923 |    0 |    0 |      0
  0.707107 | -0.538034  | -0.707107 | 0.842923 |    0 |    0 |      0
  0.707107 |  0.261621  |  0.707107 | 0.965171 |    0 |    0 |      0
 -0.707107 |  0.261621  |  0.707107 | 0.965171 |    0 |    0 |      0
 -0.707107 |  0.261621  | -0.707107 | 0.965171 |    0 |    0 |      0
  0.707107 |  0.261621  | -0.707107 | 0.965171 |    0 |    0 |      0
  0.707107 |  0.638496  |  0.707107 | 0.769625 |    0 |    0 |      0
 -0.707107 |  0.638496  |  0.707107 | 0.769625 |    0 |    0 |      0
 -0.707107 |  0.638496  | -0.707107 | 0.769625 |    0 |    0 |      0
  0.707107 |  0.638496  | -0.707107 | 0.769625 |    0 |    0 |      0
  0.707107 | -0.885174  |  0.707107 | 0.46526  |    0 |    0 |      0
 -0.707107 | -0.885174  |  0.707107 | 0.46526  |    0 |    0 |      0
 -0.707107 | -0.885174  | -0.707107 | 0.46526  |    0 |    0 |      0
  0.707107 | -0.885174  | -0.707107 | 0.46526  |    0 |    0 |      0
  0.707107 |  0.786369  |  0.707107 | 0.617758 |    0 |    0 |      0
 -0.707107 |  0.786369  |  0.707107 | 0.617758 |    0 |    0 |      0
 -0.707107 |  0.786369  | -0.707107 | 0.617758 |    0 |    0 |      0
  0.707107 |  0.786369  | -0.707107 | 0.617758 |    0 |    0 |      0
